Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"King, Jean-Rémi; Faugeras, Frédéric; Gramfort, Alexandre; Schurger, Aaron; El Karoui, Imen; Sitt, JD; Rohaut, Benjamin; Wacongne, C; Labyt, E; Bekinschtein, Tristan; ",Single-trial decoding of auditory novelty responses facilitates the detection of residual consciousness,Neuroimage,83,,726-738,2013,Academic Press
"King, Jean-Rémi; Sitt, Jacobo D; Faugeras, Frédéric; Rohaut, Benjamin; El Karoui, Imen; Cohen, Laurent; Naccache, Lionel; Dehaene, Stanislas; ",Information sharing in the brain indexes consciousness in noncommunicative patients,Current Biology,23,19,1914-1919,2013,Cell Press
"Sheynikhovich, Denis; Grèzes, Félix; King, Jean-Rémi; Arleo, Angelo; ",Exploratory behaviour depends on multisensory integration during spatial learning,International Conference on Artificial Neural Networks,,,296-303,2012,"Springer, Berlin, Heidelberg"
"Sitt, Jacobo D; King, Jean-Rémi; Naccache, Lionel; Dehaene, Stanislas; ",Ripples of consciousness,Trends in cognitive sciences,17,11,552-554,2013,Elsevier Current Trends
"Dehaene, Stanislas; Charles, Lucie; King, Jean-Rémi; Marti, Sébastien; ",Toward a computational theory of conscious processing,Current opinion in neurobiology,25,,76-84,2014,Elsevier Current Trends
"Charles, Lucie; King, Jean-Rémi; Dehaene, Stanislas; ","Decoding the dynamics of action, intention, and error detection for conscious and subliminal stimuli",Journal of neuroscience,34,4,1158-1170,2014,Society for Neuroscience
"King, Jean-Rémi; Gramfort, Alexandre; Schurger, Aaron; Naccache, Lionel; Dehaene, Stanislas; ",Two distinct dynamic modes subtend the detection of unexpected sounds,PloS one,9,1,e85791,2014,Public Library of Science
"King, Jean-Rémi; Dehaene, Stanislas; ",Characterizing the dynamics of mental representations: the temporal generalization method,Trends in cognitive sciences,18,4,203-210,2014,Elsevier Current Trends
"King, Jean-Rémi; Bekinschtein, Tristan; Dehaene, Stanislas; ",Comment on “Preserved Feedforward But Impaired Top-Down Processes in the Vegetative State”,Science,334,6060,1203,2011,
"King, Jean-Rémi; Dehaene, Stanislas; ",A model of subjective report and objective discrimination as categorical decisions in a vast representational space,Philosophical Transactions of the Royal Society B: Biological Sciences,369,1641,20130204,2014,The Royal Society
"King, Jean-Remi; ",Characterizing electro-magnetic signatures of conscious processing in healthy and impaired human brains,,,,,2014,Paris 6
"Sitt, Jacobo Diego; King, Jean-Remi; El Karoui, Imen; Rohaut, Benjamin; Faugeras, Frederic; Gramfort, Alexandre; Cohen, Laurent; Sigman, Mariano; Dehaene, Stanislas; Naccache, Lionel; ",Large scale screening of neural signatures of consciousness in patients in a vegetative or minimally conscious state,Brain,137,8,2258-2270,2014,Oxford University Press
"El Karoui, Imen; King, Jean-Remi; Sitt, Jacobo; Meyniel, Florent; Van Gaal, Simon; Hasboun, Dominique; Adam, Claude; Navarro, Vincent; Baulac, Michel; Dehaene, Stanislas; ","Event-related potential, time-frequency, and functional connectivity facets of local and global auditory novelty processing: an intracranial study in humans",Cerebral cortex,25,11,4203-4212,2014,Oxford University Press
"Konstantinou, Nikos; Beal, Eleanor; King, Jean-Remi; Lavie, Nilli; ",Working memory load and distraction: dissociable effects of visual maintenance and cognitive control,"Attention, Perception, & Psychophysics",76,7,1985-1997,2014,Springer US
"Rohaut, Benjamin; Faugeras, Frédéric; Chausson, Nicolas; King, Jean-Rémi; El Karoui, Imen; Cohen, Laurent; Naccache, Lionel; ",Probing ERP correlates of verbal semantic processing in patients with impaired consciousness,Neuropsychologia,66,,279-292,2015,Pergamon
